item        type	cost   atk     def
Dagger      weapon	  8     4       0
Shortsword  weapon 	 10     5       0
Warhammer   weapon	 25     6       0
Longsword   weapon	 40     7       0
Greataxe    weapon	 74     8       0
Clothing    armor	  0	0	0
Leather     armor	 13     0       1
Chainmail   armor	 31     0       2
Splintmail  armor	 53     0       3
Bandedmail  armor	 75     0       4
Platemail   armor	102     0       5
Attack1     ring	 25     1       0
Attack2     ring	 50     2       0
Attack3     ring	100     3       0
Defense1    ring	 20     0       1
Defense2    ring	 40     0       2
Defense3    ring	 80     0       3
NoneL	    ring	  0	0	0
NoneR	    ring	  0	0	0
